word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
sandra	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#getalife	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
citron	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
embarrassing	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
carlile	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
oom	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
breaks	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
grand	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
pinocchio	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
sour	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
them	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#fatherdaughter	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#yummy	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#gome	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
eclampsia	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
pestfeta?	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#mywomen	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#etiler	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
teaches	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#idiots	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
sold!	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
smash	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
fires	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
digifam	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
purdue	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
mexico	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
scotrail	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#partyprobs	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
fff	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
witnessed	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
israeli	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
library	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
phot	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
souls	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
chips	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
kishimoto	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#shoko	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#freedom	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
fangirl	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
clock	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
leilah	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
gf	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
clement	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
all	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
does	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#thebestfeeling	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
stones	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#bffs	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
dm	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
spirits	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
tart	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#businessmood	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
age	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
jake!	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#edmgirls	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
taste	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
secretly	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
continue	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#hardday	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#blog	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
examen	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#hyperbolic	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#duchessswan	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
rich!	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
log	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
females	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#yum	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#hysteria!	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
blaming	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
erning	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
besmirch	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
whoopi	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
cest	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#senjoemanchin	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
okim	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
choo	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#brunch	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#guts	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#sadjoke	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#reincarnate	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
sirius	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#jazz	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
europeans	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
por	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
heroes	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
burning	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
overcoming	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#delaware	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#serenitynow	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#fabologist	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
officiel	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
magical	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#annoyed	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
alive	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
bothered	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
almost	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
completely	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
developing	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
giant	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
move	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
clinton	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#superjunior	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
na	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#rants	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
activision	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
planned	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
tk	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
oreilly	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
bp	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
india	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
yourselves	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
fuming!!	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
grimm	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
ds	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
rains	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
unconsciously	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
flies	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#purple	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
public	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
twitter!	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#conflict	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
boutique	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
sent	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
camera	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#state	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
shorthair	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#goodvibes	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#welloveher	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
booger	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#storyofmylife	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#gates	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
reluctant	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
synth	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#coming	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#android	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
joe	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
indian	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
esteem	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#laugh	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#tech	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#cavs	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#cma	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
replies	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
diet	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
remorse	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
gregory	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
literally	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
challenge	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#mummy	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#presidentialpalace	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
chem	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
pure	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
central	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
jajaja	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
darkside	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
dill	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
afternoon	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#humble	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#ghostercoaster	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#episode	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
negatively	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
directly	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#b	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
lives	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
dare	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#yes!	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#toomuch	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
coaster	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
shady	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#ibiza	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
purchased	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
abroad	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#wealth	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
lowers	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
unquote	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
tuba	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
poorly	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
zoo	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
uri	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
currently	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#growth	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
thread	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#cottoncandy	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
cool	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
police	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#tvnight	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
lack	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#ghomeshi	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
journey	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#witness	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
sexy	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#ipaded	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
enjoying	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#melancholy	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
serious	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
fuck!	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#birds	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#sheeple	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#tinkerbell	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
railway	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
charles	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
bpa	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#respect	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
hello	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#thatsoraven	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#restaurant	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
rapist	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
dier	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#bookfair	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#woraburiphuket	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#hotcocoa	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#project	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
hh	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
coat	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
thankyou	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
imma	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
goring	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#liveintheattic	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
mullinghagel	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#loveit	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
graham	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
wallet	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#jk	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
basketball	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
contest	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#butamireallysorry	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
techniques	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
mel!	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
surprising	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
tayos	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#miercoles	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#livewebcamerachat	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#jihadist	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#instafit	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#meencanta	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
contact	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
learned	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
thru	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
running	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
cuts	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
sam	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
connection	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#spoilt	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#notlovers	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#laduree	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
feverish	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
amid	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#inthehouse	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#adventures	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
:-d	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
obamas	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
ate	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#imacelebrity	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
latest	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#obsessed	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
remind	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
girlfriend	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#blanket	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
coop	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
grade	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#grill	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#needpeaceandharmony	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#or	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
accidently	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#customer	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
ink	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
collecting	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#ice	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
bouquet	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
shocking	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#leavemealone	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
son	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
bradthor	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#capecobra	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
alkaline	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
moos	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
enrollment	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
freddies	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
flaccus	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
dilla	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#charlotte	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
gary	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
precut	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#appreciation	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#timeflies	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#injury	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#bowling	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
caesar	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
granada	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#judge	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
nie	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#capetown	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
mature	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
annoying	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
rule	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#victorious	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
oc	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
calgary	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#followforfollow	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
conefb	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
olive	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
fancalls	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#pissedoff	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
bryanthebeh	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
busy	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
potential	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
interest	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#humanhorse	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
heck	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#imissyou	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
warnings	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
elon	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
perks	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
obsessed	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
?¨	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
hellokateri	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
gop	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#observation	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#comedy	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
adjust	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
haw	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
foot	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
abc	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#reluctantreader	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
bridesmaid	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
singers	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#bunny	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#bisexual	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#whatevenareyou	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
twigs	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
math	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
io	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
incompetent	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#dadsbirthday	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
mentor	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
birth	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
pr	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
cruz	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
hltco	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
elixersyes	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
miliband	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
meghan	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
apologize	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
dip	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
balance	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
anymore	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
hur	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
presented	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#retweet!	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
connect	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
mom!	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
mistress	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
childish	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
nudity	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#madeinusa	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
earned	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
dancing	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
performance	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
childs	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
flying	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
hahaha	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#okay	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
bring	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
vfc	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
upside	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
virginity	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
missshawdt	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#exito	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
maryamgenoves	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
drunk	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
semester	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
got	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#edelman	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
thousand	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
forcing	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
method	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
discovered	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
existing	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
blocking	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
forged	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
marketing	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#favorable	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#adorbs	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
relax	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
apartement	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
cultural	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
wrongs	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
clearly	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#boycottqatar	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
ygm	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
frame	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
wo	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
hopkins	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#edc	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
seasonal	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#ministry	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#goodtimes	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
dated	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
fireworks	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
hacked	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
goals	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
screaming	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#walk	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#summertime	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
him	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
favs	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
cf	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
ak	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
emotion	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#confidence	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
forward	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#throwup	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
politics	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
laughing	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#photoshoot	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#lp	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
by	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#startswithone	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
